# Personnage,Photo,Prénom,Nom,Village,Parti politique,Sexe,Age,Métier,Alibi,Alibi_EN,Indice physique en sa possession,Personnage essentiel?
1,photo/gee_me_002.jpg,Sophie,Bagnoud,Icogne,Le Centre,F,41,Mécanicienne @ Carrosserie La Dellège SA,"18h00 - 18h30: Finir son travail au garage
18h36: Prendre le bus B353 à La Dellège
18h45: Sortir à l'arrêt Icogne, Village
18h45 - 19h00: Petite bière à la maison
19h00 - 19h45: Manger avec son mari, Bastien Bagnoud
19h45 - 21h00: Netflix au lit, regarde la série Breaking Bad","6:00 p.m. - 6:30 p.m.: Finish work in the garage
6:36 p.m.: Take bus B353 to La Dellège
6:45 p.m.: Exit at the Icogne, Village stop
6:45 p.m. - 7:00 p.m.: Small beer at home
7:00 p.m. - 7:45 p.m.: Eat with her husband, Bastien Bagnoud
7:45 p.m. - 9:00 p.m.: Netflix in bed, watch Breaking Bad",Factures de service de voiture,X
2,photo/gee_me_003.jpg,Arthur,Bagnoud,Icogne,PLR,M,28,Étudiant et coureur,"18h00 - 18h30: Faire ses devoirs
18h30 - 19h00: Manger
19h00 - 20h30: Trail sur le Grand Bisse de Lens (Icogne - Chermignon), n'a croisé personne
20h30 - 21h00: Douche, se préparer pour aller au lit","6:00 p.m. - 6:30 p.m.: Do your homework
6:30 p.m. - 7:00 p.m.: Eat
7:00 p.m. - 8:30 p.m.: Trail on the Grand Bisse de Lens (Icogne - Chermignon), did not meet anyone
8:30 p.m. - 9:00 p.m.: Shower, get ready for bed",Carte des trails running,X
3,photo/gee_me_009.jpg,Sarah,Bagnoud,Icogne,PS,F,29,Développeuse en Informatique,"17h30: Fini le travail à PCProfi
17h30 - 18h00: Se rendre à la gare, acheter un redbull et une pizza surgelé
18h00: Prendre le bus B421 à l'arrêt Sierre, Gare
18h26: Sortir à l'arrêt Lens, Centre d'Art
18h26 - 18h40: attendre le prochain bus
18h40: Prendre le bus B353 à Lens, Centre d'Art
18h46: Sortir à l'arrêt Icogne, Prasserin
18h50: Chauffer sa pizza
19h00 - 03h00: Jouer à League Of Legends sur son PC","5:30 p.m.: Finished work at PCProfi
5:30 p.m. - 6:00 p.m.: Go to the station, buy a red bull and a frozen pizza
6:00 p.m.: Take the B421 bus to the Sierre, Gare stop
6:26 p.m.: Exit at the Lens, Center d’Art stop
6:26 p.m. - 6:40 p.m.: wait for the next bus
6:40 p.m.: Take bus B353 to Lens, Art Center
6:46 p.m.: Exit at the Icogne, Prasserin stop
6:50 p.m.: Heat your pizza
7:00 p.m. - 3:00 a.m.: Play League Of Legends on your PC",,X
4,photo/gee_me_006.jpg,Richard,Bagnoud,Icogne,Le Centre,M,33,Comptable,"18h20: Poser une lettre à la Poste
18h25: Acheter un pain chez Taillens, croisé le boucher qui ne lui a pas dit salut
18h30: Rentrer à la maison
18h30 - 19h00: Plateau télé devant Rick & Morty
19h00 - 23h00: Jouer à Zelda Breath Of The Wild","6:20 p.m.: Post a letter to the Post Office
6:25 p.m.: Buying a loaf of bread at Taillens, passing the butcher who didn’t say hi
6:30 p.m.: Return home
6:30 p.m. - 7:00 p.m.: TV set in front of Rick & Morty
7:00 p.m. - 11:00 p.m.: Play Zelda Breath Of The Wild",,X
5,photo/gee_me_011.jpg,Anne-Marie,Bagnoud,Icogne,Le Centre,F,37,Gestionnaire de Commerce et présidente de l'Icogne Jazz,18h00 - 21h00: Séance Icogne Jazz,6:00 p.m. - 9:00 p.m.: Icogne Jazz session,PV Assemblée Icogne Jazz,X
6,photo/gee_me_012.jpg,Luc,Bagnoud,Randogne,PS,M,24,Prof de ski,"18h00 - 20h00: After-ski @ Zerodix avec Ophélie et Marielle
20h00 - 23h00: Faire la fête au New Pub avec Ophélie et Marielle","6:00 p.m. - 8:00 p.m.: After-ski @ Zerodix with Ophélie and Marielle
8:00 p.m. - 11:00 p.m.: Party at the New Pub with Ophélie and Marielle",,X
7,photo/gee_me_015.jpg,Julius,Bagnoud,Randogne,PLR,M,49,Boulanger,"18h00 - 18h30: Travailler, vu Richard comme dernier client
18h30 - 19h00: Fermeture, rangement
19h00 - 19h15: Rentrer à Randogne
19h15 - 20h00: Préparer le repas
20h00 - 22h00: Regarder les derniers épisodes de ""Love Is Blind""","6:00 p.m. - 6:30 p.m.: Working, saw Richard as last client
6:30 p.m. - 7:00 p.m.: Closing, storage
7:00 p.m. - 7:15 p.m.: Return to Randogne
7:15 p.m. - 8:00 p.m.: Prepare the meal
8:00 p.m. - 10:00 p.m.: Watch the latest episodes of “Love Is Blind”",,
8,photo/gee_me_017.jpg,Marc,Bagnoud,Randogne,Le Centre,M,61,Chauffeur de bus B421,18h00 - 22h00: Travail,6:00 p.m. - 10:00 p.m.: Work,Carte chauffeur bus B421 (A),X
9,photo/gee_me_014.jpg,Laetitia,Nanchen,Icogne,PLR,F,51,Fleuriste,"18h00 - 18h30: Travailler au magasin de fleurs, a vendu des fleurs à une seule personne, ne sait plus qui c'est
18h30 - 18h45: Rentrer à la maison
18h45 - 19h30: Préparer le repas
19h30 - 20h15: Repas en famille
20h15 - 20h45: Vaisselle
20h45 - 22h00: Poursuivre l'écriture de son roman","6:00 p.m. - 6:30 p.m.: Worked at the flower shop, sold flowers to one person, doesn't know who it is anymore
6:30 p.m. - 6:45 p.m.: Go home
6:45 p.m. - 7:30 p.m.: Prepare the meal
7:30 p.m. - 8:15 p.m.: Family meal
8:15 p.m. - 8:45 p.m.: Dishes
8:45 p.m. - 10:00 p.m.: Continue writing your novel",,X
10,photo/gee_me_024.jpg,Stéphane,Nanchen,Icogne,Le Centre,M,47,"Boucher @ Boucherie Cotter, Lens","Vous êtes un menteur! Il faut raconter votre mensonge, et garder la vérité secrète.

mari de Anne-Laure Nanchen

MENSONGE
18h00 - 18h50: Travailler à la boucherie, heures supp
18h50 - 20h00: Manger au Monument, Lens
20h00 - 21h00: Balade digestive la nuit

VÉRITÉ
18h00 - 18h15: Travailler à la boucherie, fermeture tôt
18h15 - 18h30: Acheter des fleurs, les cache dans un sac et range dans sa voiture
18h30 - 18h40: Boire un café rapidement au Monument
18h40 - 18h45: Aller voir Charlotte Bonvin, Chemin de la Scie
18h45 - 21h00: Rencontre avec Charlotte Bonvin, chez elle, Chemin de la Scie","You are a liar! You must tell your lie, and keep the truth secret.

husband of Anne-Laure Nanchen

LIE
6:00 p.m. - 6:50 p.m.: Work in the butchery, overtime
6:50 p.m. - 8:00 p.m.: Eat at the Monument, Lens
8:00 p.m. - 9:00 p.m.: Digestive walk at night

TRUTH
6:00 p.m. - 6:15 p.m.: Working at the butcher's shop, closing early
6:15 p.m. - 6:30 p.m.: Buy flowers, hide them in a bag and put them in your car
6:30 p.m. - 6:40 p.m.: Have a quick coffee at the Monument
6:40 p.m. - 6:45 p.m.: Go see Charlotte Bonvin, Chemin de la Scie
6:45 p.m. - 9:00 p.m.: Meeting with Charlotte Bonvin, at her home, Chemin de la Scie",,MENTEUR - Adultère
