Prénom,Nom,Photo,Village,Partie politique,Sexe,Age,Métier,Alibi
Arthur,Bagnoud,photo/gee_me_003.jpg,Icogne,PLR,M,28,Étudiant et coureur,"18h00 - 18h30: Faire ses devoirs
18h30 - 19h00: Manger
19h00 - 20h30: Trail sur le Grand Bisse de Lens (Icogne - Chermignon), n'a croisé personne
20h30 - 21h00: Douche, se préparer pour aller au lit"
Bastien,Bagnoud,photo/gee_me_006.jpg,Icogne,Le Centre,M,38,Comptable,"18h00 - 19h00: Préparer le repas
19h00 - 19h45: Manger avec sa femme, Sophie Bagnoud
19h45 - 21h00: Netflix au lit, regarde la série Breaking Bad"
Luc,Bagnoud,photo/gee_me_012.jpg,Icogne,PS,M,24,Prof de ski,"18h00 - 20h00: After-ski @ Zerodix avec Ophélie et Marielle
20h00 - 23h00: Faire la fête au New Pub avec Ophélie et Marielle"
Julius,Bagnoud,photo/gee_me_015.jpg,Icogne,PLR,M,30,Boulanger,"18h00 - 18h30: Travailler, vu Richard comme dernier client
18h30 - 19h00: Fermeture, rangement
19h00 - 19h15: Rentrer à Icogne
19h15 - 20h00: Préparer le repas
20h00 - 22h00: Regarder les derniers épisodes de ""Love Is Blind"""
Marc,Bagnoud,photo/gee_me_017.jpg,Icogne,Le Centre,M,41,Chauffeur de bus B,18h00 - 22h00: Travail
Stéphane,Nanchen,photo/gee_me_024.jpg,Icogne,Le Centre,M,47,"Boucher @ Boucherie Cotter, Lens","Ce personnage ment. Ainsi, il a un alibi faux, et la réalité
ALIBI FAUX
18h00 - 18h50: Travailler à la boucherie, heures supp
18h50 - 20h00: Manger au Monument, Lens
20h00 - 21h00: Balade digestive la nuit

ALIBI VRAI
18h00 - 18h15: Travailler à la boucherie, fermeture tôt
18h15 - 18h30: Acheter des fleurs, les cache dans un sac et range dans sa voiture
18h30 - 18h40: Boire un café rapidement au Monument
18h40 - 18h45: Aller voir Charlotte Bonvin, Chemin de la Scie
18h45 - 21h00: Rencontre avec Charlotte Bonvin, chez elle, Chemin de la Scie"
David,Nanchen,photo/gee_me_026.jpg,Icogne,Le Centre,M,26,Développeur en Informatique,"18h00 - 18h30: Travail à Sion, caisse de compensation
18h30 - 18h50: Se rendre à Sierre
18h50 - 19h00: Se parquer au Technopôle
19h00 - 20h00: Conférence ""La protection des données à l'ère de l'IA""
20h00 - 20h30: Networking
20h30 - 21h00: McDonalds 
21h00 - 21h30: Rentrer à Icogne "
Tristan,Nanchen,photo/gee_me_030.jpg,Icogne,PLR,M,22,Stay-at-home dad,"Ce personnage ment. Ainsi, il a un alibi faux, et la réalité
ALIBI FAUX
18h00 - 18h30: Donner le biberon au bébé
18h30 - 19h00: Doucher le bébé
19h00 - 20h00: Ménage
20h00 - 21h00: Netflix

ALIBI VRAI
18h00 - 19h15: Coucher le bébé très tôt
19h15 - 19h30: Se rendre au Monument
19h30 - 22h00: Boire des verres au monument"
Gaëtan,Nanchen,photo/gee_me_034.jpg,Icogne,Le Centre,M,32,Gestionnaire de Commerce,En vacances aux USA (roadtrip)
Richard,Emery,photo/gee_me_042.jpg,Lens,UDC,M,74,Retraité,"17h50 - 18h10: Café à l'Union
18h10 - 18h15: Aller à la Poste, poser une lettre
18h15 - 18h25: Se rendre à Taillens acheter un pain, croiser le boucher qui ne lui a pas dit salut
18h25 - 18h40: Rentrer à la maison, croiser cet imbécile de socialiste qui attendait le bus
18h40 - 19h30: Manger des tartines
19h30 - 20h00: Télé-Journal de 19:30
20h00 - 21h00: Lecture d'un livre de Joël Dicker"
Stéphane,Emery,photo/gee_me_047.jpg,Lens,Le Centre,M,45,Vigneron,"18h00 - 19h30: Apéro + raclette au Vieux Chalet, Lens
Choquer et déçu du prix trop élevé de la raclette, 8 CHF!
19h30 - 19h40: Rentrer à la maison
19h40 - 22h00: Vu ""La Grande Vadrouille"" sur RTS 2"
Jean-Luc,Emery,photo/gee_me_051.jpg,Lens,PLR,M,41,Croc mort,"ALIBI FAUX
18h00 - 19h30: Enterrement Marc Savioz, Sierre
19h30 - 20h00: Rentrer à Lens
20h00 - 21h00: Se faire livrer des sushis
21h00 - 21h30: Lecture

ALIBI VRAI
17h00 - 18h30: Enterrement Marc Savioz, Sierre
18h30 - 19h00: Sierre - Moubra
19h00 - 19h05: Rencontre avec client 1 @ Moubra, vente de cannabis
19h10 - 19h15: Rencontre avec client 2 @ Moubra, vente de cannabis
19h15 - 19h30: Rentrer à Lens
19h30 - 20h30: Se faire livrer des sushis
20h30 - 21h00: Lecture"
Christian,Emery,photo/gee_me_056.jpg,Lens,Le Centre,M,54,Professeur,"18h00 - 18h30: Visite expo Opale
18h30 - 20h30: Date night au Monument avec sa femme, Jacqueline Emery
20h30 - 20h45: Rentrer à la maison
20h45 - 22h45: Vu Nosferatu au lit"
Quentin,Bonvin,photo/gee_me_059.jpg,Lens,PLR,M,53,Agent Immobilier,"18h00 - 20h00: Journal + café au Monument
20h00 - 20h05: Rentrer à la maison
20h05 - 21h00: Manger les restes de la veille à la maison"
